"","municipio","count","perc"
"1","Abalá",96,0.000738359304096356
"2","Acanceh",588,0.00452245073759018
"3","Akil",1408,0.0108292697934132
"4","Baca",307,0.00236121152455814
"5","Bokobá",164,0.00126136381116461
"6","Buctzotz",570,0.00438400836807211
"7","Cacalchén",478,0.00367641403497977
"8","Calotmul",178,0.00136904120967866
"9","Cansahcab",260,0.00199972311526096
"10","Cantamayec",278,0.00213816548477903
"11","Celestún",827,0.00636065775508007
"12","Cenotillo",336,0.00258425756433725
"13","Chacsinkín",547,0.00420710978479903
"14","Chankom",90,0.000692211847590334
"15","Chapab",169,0.00129982002491963
"16","Chemax",1190,0.00915257887369441
"17","Chichimilá",286,0.00219969542678706
"18","Chicxulub Pueblo",268,0.00206125305726899
"19","Chikindzonot",421,0.00323801319817256
"20","Chocholá",359,0.00276115614761033
"21","Chumayel",779,0.00599147810303189
"22","Conkal",566,0.0043532433970681
"23","Cuncunul",96,0.000738359304096356
"24","Cuzamá",186,0.00143057115168669
"25","Dzán",618,0.00475318802012029
"26","Dzemul",191,0.00146902736544171
"27","Dzidzantún",555,0.00426863972680706
"28","Dzilam de Bravo",391,0.00300727591564245
"29","Dzilam González",379,0.00291498100263041
"30","Dzitás",354,0.00272269993385531
"31","Dzoncauich",146,0.00112292144164654
"32","Espita",1308,0.0100601455183128
"33","Halachó",1275,0.00980633450752973
"34","Hocabá",234,0.00179975080373487
"35","Hoctún",297,0.0022842990970481
"36","Homún",414,0.00318417449891553
"37","Huhí",475,0.00365334030672676
"38","Hunucmá",1803,0.0138673106800597
"39","Ixil",277,0.00213047424202803
"40","Izamal",2370,0.0182282453198788
"41","Kanasín",4134,0.0317955975326493
"42","Kantunil",195,0.00149979233644572
"43","Kaua",240,0.00184589826024089
"44","Kinchil",332,0.00255349259333323
"45","Kopomá",154,0.00118445138365457
"46","Mama",476,0.00366103154947776
"47","Maní",737,0.00566844590748973
"48","Maxcanú",868,0.00667599870787122
"49","Mayapán",720,0.00553769478072267
"50","Mérida",54300,0.417634481379501
"51","Mocochá",110,0.000846036702610408
"52","Motul",1910,0.0146902736544171
"53","Muna",970,0.0074605054684736
"54","Muxupip",147,0.00113061268439754
"55","Opichén",213,0.00163823470596379
"56","Oxkutzcab",2174,0.0167207617406821
"57","Panabá",390,0.00299958467289145
"58","Peto",1741,0.0133904536294975
"59","Progreso",3747,0.0288190865880109
"60","Quintana Roo",114,0.000876801673614423
"61","Río Lagartos",234,0.00179975080373487
"62","Sacalum",279,0.00214585672753003
"63","Samahil",238,0.00183051577473888
"64","San Felipe",141,0.00108446522789152
"65","Sanahcat",80,0.000615299420080297
"66","Santa Elena",281,0.00216123921303204
"67","Seyé",348,0.00267655247734929
"68","Sinanché",160,0.00123059884016059
"69","Sotuta",488,0.00375332646248981
"70","Sucilá",250,0.00192281068775093
"71","Sudzal",82,0.000630681905582304
"72","Suma",114,0.000876801673614423
"73","Tahdziú",948,0.00729129812795151
"74","Tahmek",177,0.00136134996692766
"75","Teabo",1268,0.0097524958082727
"76","Tecoh",435,0.00334569059668661
"77","Tekal de Venegas",237,0.00182282453198788
"78","Tekantó",259,0.00199203187250996
"79","Tekax",2912,0.0223968988909228
"80","Tekit",1606,0.012352135858112
"81","Tekom",310,0.00238428525281115
"82","Telchac Pueblo",226,0.00173822086172684
"83","Telchac Puerto",256,0.00196895814425695
"84","Temax",381,0.00293036348813241
"85","Temozón",1548,0.0119060437785537
"86","Tepakán",181,0.00139211493793167
"87","Tetiz",253,0.00194588441600394
"88","Teya",134,0.0010306265286345
"89","Ticul",3116,0.0239659124121276
"90","Timucuy",123,0.000946022858373456
"91","Tinum",1005,0.00772969896475873
"92","Tixcacalcupul",420,0.00323032195542156
"93","Tixkokob",784,0.00602993431678691
"94","Tixmehuac",420,0.00323032195542156
"95","Tixpéhual",203,0.00156132227845375
"96","Tizimín",3958,0.0304419388084727
"97","Tunkás",235,0.00180744204648587
"98","Tzucacab",1116,0.00858342691012014
"99","Uayma",340,0.00261502253534126
"100","Ucú",131,0.00100755280038149
"101","Umán",2607,0.0200510698518667
"102","Valladolid",5711,0.0439246873509822
"103","Xocchel",174,0.00133827623867465
"104","Yaxcabá",340,0.00261502253534126
"105","Yaxkukul",194,0.00149210109369472
"106","Yobaín",109,0.000838345459859404
